,street,house,coordinate,district
0,1-й Автозаводский проезд,дом 4,37.656514 55.704002,Даниловский район
1,1-й Амбулаторный проезд,дом 8,37.532852 55.811589,район Аэропорт
2,1-й Балтийский переулок,дом 3/25,37.518785 55.810471,район Аэропорт
3,1-й Басманный переулок,дом 3,37.662838 55.770785,Красносельский район
4,1-й Ботанический проезд,дом 2,37.635979 55.850707,район Свиблово
5,1-й Боткинский проезд,дом 2/6,37.555912 55.781519,район Беговой
6,1-й Варшавский проезд,дом 6,37.630598 55.647051,район Москворечье-Сабурово
7,1-й Вешняковский проезд,дом 2,37.78792 55.724312,Рязанский район
8,1-й Волоколамский проезд,дом 10,37.490865 55.803241,район Щукино
9,1-й Голутвинский переулок,дом 6,37.613494 55.7396,район Якиманка
10,1-й Гончарный переулок,дом 4,37.652149 55.741804,Таганский район
11,1-й Грайвороновский проезд,дом 2,37.72846 55.719957,район Текстильщики
12,1-й Дорожный проезд,дом 9,37.625496 55.614226,район Чертаново Центральное
13,1-й Западный проезд,дом 12,39.022232 45.002894,Центральный округ
15,1-й Зачатьевский переулок,дом 4,37.604169 55.739716,район Хамовники
16,1-й Казачий переулок,дом 4,37.623456 55.73516,район Якиманка
17,1-й Кирпичный переулок,дом 4,37.732575 55.778421,район Соколиная Гора
18,1-й Кожевнический переулок,дом 6,37.646426 55.726426,Даниловский район
19,1-й Кожуховский проезд,дом 17,37.663925 55.70807,Даниловский район
20,1-й Коптельский переулок,дом 2/7,37.637847 55.772507,Красносельский район
21,1-й Котельнический переулок,дом 5,37.646345 55.743613,Таганский район
22,1-й Котляковский переулок,дом 3,37.63871 55.649809,район Москворечье-Сабурово
23,1-й Красногвардейский проезд,дом 21,37.534397 55.750028,Пресненский район
24,1-й Краснокурсантский проезд,дом 1/4,37.689761 55.758149,район Лефортово
25,1-й Курьяновский проезд,дом 14,37.699517 55.657362,район Печатники
26,1-й Люсиновский переулок,дом 3Б,37.621741 55.727526,район Замоскворечье
27,1-й Митинский переулок,дом 12,37.380175 55.845673,район Митино
28,1-й Монетчиковский переулок,дом 5,37.628316 55.732256,район Замоскворечье
29,1-й Нагатинский проезд,дом 11,37.634631 55.678707,район Нагатино-Садовники
30,1-й Неопалимовский переулок,дом 6,37.581694 55.740786,район Хамовники
31,1-й Николощеповский переулок,дом 6,37.580921 55.748716,район Арбат
32,1-й Новокузнецкий переулок,дом 5-7,37.632305 55.734679,район Замоскворечье
33,1-й Обыденский переулок,дом 9/12,37.602256 55.743005,район Хамовники
34,1-й Рижский переулок,дом 6,37.652319 55.806611,Алексеевский район
35,1-й Саратовский проезд,дом 5,37.736339 55.71163,район Текстильщики
36,1-й Сельскохозяйственный проезд,дом 2,37.647082 55.83248,район Ростокино
37,1-й Сетуньский проезд,дом 10,37.539078 55.73223,район Раменки
38,1-й Силикатный проезд,дом 13,37.510439 55.767863,район Хорошёво-Мнёвники
39,1-й Спасоналивковский переулок,дом 8,37.61706 55.733259,район Якиманка
40,1-й Стрелецкий проезд,дом 14,37.608993 55.798637,район Марьина Роща
41,1-й Тверской-Ямской переулок,дом 11,37.597208 55.773155,Тверской район
42,1-й Тушинский проезд,дом 12,37.418308 55.833809,район Покровское-Стрешнево
43,1-й Хорошёвский проезд,дом 14,37.545312 55.774963,Хорошёвский район
45,1-й переулок Тружеников,дом 12,37.572648 55.737826,район Хамовники
46,1-й проезд Марьиной Рощи,дом 3А,37.621696 55.793748,район Марьина Роща
47,1-й проезд Перова Поля,дом 8,37.769037 55.750591,район Перово
48,1-я Аэропортовская улица,дом 1,37.535233 55.800934,район Аэропорт
49,1-я Боевская улица,дом 6,37.692815 55.791805,район Сокольники
50,1-я Брестская улица,дом 10,37.59383 55.77033,Тверской район
51,1-я Ватутинская улица,дом 5,37.331639 55.501111,квартал № 51
52,1-я Владимирская улица,дом 9,37.774427 55.759451,район Перово
53,1-я Вольская улица,дом 17,37.928273 55.684259,район Некрасовка
54,1-я Гражданская улица,дом 96,37.709012 55.807223,район Богородское
55,1-я Дубровская улица,дом 6,37.669351 55.726938,Южнопортовый район
56,1-я Карачаровская улица,дом 8,37.755733 55.73592,Нижегородский район
57,1-я Квесисская улица,дом 18,37.578648 55.794239,Савёловский район
58,1-я Курьяновская улица,дом 22,37.702185 55.654452,район Печатники
59,1-я Магистральная улица,дом 18,37.518605 55.77152,Хорошёвский район
60,1-я Миусская улица,дом 4,37.596965 55.779737,Тверской район
61,1-я Мытищинская улица,дом 17,37.644827 55.800281,Алексеевский район
62,1-я Мясниковская улица,дом 16,37.707072 55.816788,район Богородское
63,1-я Напрудная улица,дом 13,37.691064 55.879884,Лосиноостровский район
64,1-я Нововатутинская улица,дом 1,37.356935 55.515594,микрорайон Новые Ватутинки Центральный
65,1-я Новокузьминская улица,дом 3,37.785234 55.716757,Рязанский район
66,1-я Останкинская улица,дом 29,37.624525 55.824728,Останкинский район
67,1-я Пугачёвская улица,дом 25,37.732467 55.794948,район Преображенское
69,1-я Тверская-Ямская улица,дом 4,37.594234 55.771428,Тверской район
70,1-я Фрунзенская улица,дом 6,37.586563 55.727612,район Хамовники
71,1-я Чоботовская аллея,дом 6-Б,37.35415 55.655793,район Ново-Переделкино
73,1-я улица Бухвостова,дом 12/11,37.711779 55.797377,район Преображенское
74,1-я улица Машиностроения,дом 10,37.670142 55.714044,Южнопортовый район
75,1-я улица Текстильщиков,дом 5/8,37.736455 55.701618,район Текстильщики
76,1-я улица Ямского Поля,дом 17,37.58499 55.784359,район Беговой
77,11-я Парковая улица,дом 50,37.806299 55.807294,район Северное Измайлово
78,11-я улица Текстильщиков,дом 1,37.736015 55.70495,район Текстильщики
80,12-я Парковая улица,дом 7,37.810027 55.790281,район Восточное Измайлово
81,13-я Парковая улица,дом 18А,37.815588 55.799942,район Восточное Измайлово
82,14-я Парковая улица,дом 4Б,37.816612 55.789932,район Восточное Измайлово
83,15-я Парковая улица,дом 16А,37.820601 55.795069,район Восточное Измайлово
84,16-я Парковая улица,дом 16,37.830141 55.800787,район Восточное Измайлово
85,17-й проезд Марьиной Рощи,дом 4,37.61123 55.808553,район Марьина Роща
86,2-й Балтийский переулок,дом 3,37.523339 55.808361,район Аэропорт
87,2-й Боткинский проезд,дом 5,37.553226 55.782208,район Беговой
88,2-й Верхний Михайловский проезд,дом 2,37.605113 55.709551,Донской район
89,2-й Войковский проезд,дом 2/11,37.496839 55.817628,Войковский район
90,2-й Вышеславцев переулок,дом 17,37.605984 55.790499,район Марьина Роща
91,2-й Донской проезд,дом 4,37.593767 55.712452,Донской район
93,2-й Иртышский проезд,дом 6,37.762138 55.811948,район Гольяново
94,2-й Кабельный проезд,дом 1,37.716297 55.747723,район Лефортово
95,2-й Кадашёвский переулок,дом 16,37.621902 55.743745,район Якиманка
96,2-й Кожевнический переулок,дом 12,37.647441 55.725159,Даниловский район
97,2-й Кожуховский проезд,дом 23,37.65788 55.701851,Даниловский район
98,2-й Колобовский переулок,дом 12,37.616467 55.769276,Тверской район
99,2-й Котляковский переулок,дом 1,37.628406 55.650353,район Москворечье-Сабурово
100,2-й Красносельский переулок,дом 18,37.6698 55.784364,Красносельский район
101,2-й Курьяновский проезд,дом 2,37.698762 55.652684,район Печатники
102,2-й Нагатинский проезд,дом 4,37.641306 55.676042,район Нагатино-Садовники
103,2-й Неопалимовский переулок,дом 3,37.582484 55.739336,район Хамовники
104,2-й Новокузнецкий переулок,дом 13/15,37.631775 55.734004,район Замоскворечье
105,2-й Новоподмосковный переулок,дом 8,37.509478 55.819049,Войковский район
106,2-й Обыденский переулок,дом 9,37.603505 55.741333,район Хамовники
107,2-й Павелецкий проезд,дом 4А,37.644657 55.713623,Даниловский район
108,2-й Полевой переулок,дом 2,37.68111 55.792179,район Сокольники
109,2-й Рощинский проезд,дом 8,37.603002 55.706315,Донской район
110,2-й Сельскохозяйственный проезд,дом 4,37.64348 55.833602,район Ростокино
111,2-й Сетуньский проезд,дом 9,37.533005 55.73072,район Раменки
112,2-й Смоленский переулок,дом 1/4,37.581523 55.747024,район Арбат
113,2-й Стрелецкий проезд,дом 7,37.605777 55.797326,район Марьина Роща
114,2-й Сыромятнический переулок,дом 1,37.662219 55.753838,Таганский район
115,2-й Хорошёвский проезд,дом 9,37.52872 55.774092,Хорошёвский район
116,2-й Хуторской переулок,дом 4/13,37.577157 55.806125,Савёловский район
117,2-й Щемиловский переулок,дом 4,37.608365 55.776826,Тверской район
118,2-й Южнопортовый проезд,дом 11,37.682862 55.700207,Южнопортовый район
119,2-й квартал Капотня,дом 1,37.796975 55.639019,район Капотня
120,2-я Барышевская улица,дом 1,37.54409 55.497434,Щербинка
121,2-я Бауманская улица,дом 5,37.684344 55.766025,Басманный район
122,2-я Брестская улица,дом 24/15,37.588467 55.77236,Тверской район
123,2-я Владимирская улица,дом 22,37.780545 55.756275,район Перово
124,2-я Вольская улица,дом 30,37.933995 55.686371,район Некрасовка
125,2-я Гражданская улица,дом 8,37.701062 55.813647,район Богородское
126,2-я Дубровская улица,дом 3,37.671381 55.728986,Таганский район
127,2-я Звенигородская улица,дом 12,37.555265 55.762105,Пресненский район
128,2-я Кабельная улица,дом 10,37.717321 55.748498,район Лефортово
129,2-я Карачаровская улица,дом 14А,37.748915 55.732656,Нижегородский район
130,2-я Квесисская улица,дом 23,37.574893 55.794629,Савёловский район
131,2-я Напрудная улица,дом 17,37.688782 55.87944,Лосиноостровский район
132,2-я Прядильная улица,дом 4,37.776916 55.79516,район Измайлово
133,2-я Пугачёвская улица,дом 6,37.727104 55.795277,район Преображенское
135,2-я Рощинская улица,дом 1А,37.618489 55.709251,Даниловский район
136,2-я Рыбинская улица,дом 13,37.65699 55.789289,район Сокольники
137,2-я Сокольническая улица,дом 3,37.683634 55.787928,район Сокольники
138,2-я Тверская-Ямская улица,дом 46,37.590722 55.774441,Тверской район
139,2-я Филёвская улица,дом 13,37.490057 55.73923,район Филёвский Парк
140,2-я Фрезерная улица,дом 8,37.741387 55.739818,Нижегородский район
141,2-я Фрунзенская улица,дом 10,37.582233 55.723846,район Хамовники
142,2-я Хуторская улица,дом 38А,37.568048 55.805047,Савёловский район
143,2-я Черногрязская улица,дом 7,37.547028 55.763417,Пресненский район
144,2-я Ямская улица,дом 4,37.608293 55.794629,район Марьина Роща
145,2-я улица Бухвостова,дом 6,37.707557 55.798161,район Преображенское
146,2-я улица Марьиной Рощи,дом 22,37.620186 55.799674,район Марьина Роща
147,2-я улица Энтузиастов,дом 5,37.729017 55.750185,район Перово
148,3-й Дорожный проезд,дом 6А,37.614806 55.599967,район Чертаново Южное
149,3-й Кадашёвский переулок,дом 2,37.624202 55.742407,район Якиманка
150,3-й Кожуховский проезд,дом 3А,37.675289 55.70777,Южнопортовый район
151,3-й Крутицкий переулок,дом 13,37.663512 55.730547,Южнопортовый район
152,3-й Лихачёвский переулок,дом 2А,37.516844 55.846851,Головинский район
153,3-й Митинский переулок,дом 1,37.351195 55.848357,район Митино
154,3-й Михалковский переулок,дом 15А,37.525576 55.834138,район Коптево
155,3-й Нижнелихоборский проезд,дом 15/27,37.572468 55.847063,Тимирязевский район
156,3-й Павелецкий проезд,дом 4,37.645779 55.712548,Даниловский район
157,3-й Павловский переулок,дом 2,37.628631 55.718877,Даниловский район
158,3-й Самотёчный переулок,дом 23,37.610233 55.779682,Тверской район
159,3-й Силикатный проезд,дом 4,37.500468 55.767868,район Хорошёво-Мнёвники
160,3-й Стрелецкий проезд,дом 3,37.6047 55.795357,район Марьина Роща
161,3-й Угрешский проезд,дом 8,37.69604 55.711199,район Печатники
163,3-й проезд Марьиной Рощи,дом 40,37.609919 55.796471,район Марьина Роща
164,3-й проезд Подбельского,дом 22,37.723187 55.81913,район Богородское
165,3-я Владимирская улица,дом 6,37.784641 55.76214,район Перово
166,3-я Гражданская улица,дом 64,37.711779 55.808467,район Богородское
167,3-я Железногорская улица,дом 11А,37.548267 55.5217,район Южное Бутово
168,3-я Мытищинская улица,дом 10,37.649121 55.803691,Алексеевский район
169,3-я Нововатутинская улица,дом 13,37.343829 55.518041,микрорайон Новые Ватутинки Центральный
170,3-я Новоостанкинская улица,дом 6,37.626654 55.817537,Останкинский район
171,3-я Парковая улица,дом 4,37.784686 55.788981,район Измайлово
172,3-я Песчаная улица,дом 2,37.51785 55.792645,Хорошёвский район
173,3-я Подрезковская улица,дом 14,37.355749 55.940457,Молжаниновский район
174,3-я Рыбинская улица,дом 18,37.659057 55.78976,район Сокольники
175,3-я Северная линия,дом 3,37.553136 55.942575,район Северный
176,3-я Тверская-Ямская улица,дом 15,37.595779 55.771808,Тверской район
177,3-я Фрунзенская улица,дом 14/37,37.57669 55.722107,район Хамовники
178,3-я Хорошёвская улица,дом 11,37.49992 55.781853,район Хорошёво-Мнёвники
179,3-я Черепковская улица,дом 15А,37.378225 55.757121,район Кунцево
180,3-я улица Ямского Поля,дом 13,37.579942 55.782248,район Беговой
181,39-й километр Калужского шоссе,дом 13Г,37.317472 55.476352,Троицк
182,4-й Вешняковский проезд,дом 4,37.795996 55.717984,Рязанский район
183,4-й Вятский переулок,дом 10,37.576241 55.801541,Савёловский район
184,4-й Кожевнический переулок,дом 4,37.649085 55.725143,Даниловский район
185,4-й Лесной переулок,дом 6,37.588386 55.779859,Тверской район
186,4-й Лихачёвский переулок,дом 4,37.530588 55.852647,Головинский район
187,4-й Новомихалковский проезд,дом 9А,37.541898 55.841741,район Коптево
188,4-й Рощинский проезд,дом 11,37.611643 55.707547,Даниловский район
189,4-й Сыромятнический переулок,дом 1/8,37.664518 55.755697,Басманный район
190,4-я Гражданская улица,дом 43,37.721534 55.806849,район Богородское
191,4-я Кабельная улица,дом 2А,37.71875 55.740558,район Лефортово
192,4-я Магистральная улица,дом 5,37.520563 55.774512,Хорошёвский район
193,4-я Тверская-Ямская улица,дом 2/11,37.598726 55.771661,Тверской район
194,4-я улица 8 Марта,дом 6А,37.550226 55.803611,район Аэропорт
195,41 километр Калужского шоссе,дом 1А,37.300413 55.466555,Троицк
197,5-й Донской проезд,дом 19,37.596453 55.70391,Донской район
